"","Index","Data","seasonal","trend","remainder"
"1",2015-01-01,18497,-5794.23958333333,NA,NA
"2",2015-02-01,24190,-2299.01041666667,NA,NA
"3",2015-03-01,28972,-28.8229166666665,NA,NA
"4",2015-04-01,27141,-855.84375,NA,NA
"5",2015-05-01,28479,1143.10416666667,NA,NA
"6",2015-06-01,28889,1969.16666666667,NA,NA
"7",2015-07-01,25515,-182.381249999999,25045.9583333333,651.422916666674
"8",2015-08-01,26680,1684.49375,24885.9166666667,109.589583333331
"9",2015-09-01,23458,1125.00208333333,24614.8333333333,-2281.83541666667
"10",2015-10-01,23854,1483.81875,24286.2083333333,-1916.02708333333
"11",2015-11-01,23773,1684.34375,23998.4583333333,-1909.80208333334
"12",2015-12-01,22399,70.3687499999998,23661.8333333333,-1333.20208333333
"13",2016-01-01,15906,-5794.23958333333,23321.3333333333,-1621.09375
"14",2016-02-01,22940,-2299.01041666667,23034.5833333333,2204.42708333334
"15",2016-03-01,23716,-28.8229166666665,22895.6666666667,849.156250000004
"16",2016-04-01,24510,-855.84375,22749.2916666667,2616.55208333334
"17",2016-05-01,24204,1143.10416666667,22467.2083333333,593.6875
"18",2016-06-01,25085,1969.16666666667,22153.9583333333,961.875
"19",2016-07-01,21147,-182.381249999999,21847.9583333333,-518.577083333334
"20",2016-08-01,24166,1684.49375,21363.2083333333,1118.29791666667
"21",2016-09-01,22638,1125.00208333333,20777.9583333333,735.039583333335
"22",2016-10-01,21161,1483.81875,20088.125,-410.943749999999
"23",2016-11-01,19696,1684.34375,19427.1666666667,-1415.51041666667
"24",2016-12-01,18958,70.3687499999998,19070.5833333333,-182.952083333334
"25",2017-01-01,12003,-5794.23958333333,18830.7083333333,-1033.46875
"26",2017-02-01,15209,-2299.01041666667,18500.875,-992.864583333332
"27",2017-03-01,17401,-28.8229166666665,18176.9166666667,-747.09375
"28",2017-04-01,14269,-855.84375,18014.5833333333,-2889.73958333333
"29",2017-05-01,18582,1143.10416666667,18032.2916666667,-593.395833333336
"30",2017-06-01,22149,1969.16666666667,18100.6666666667,2079.16666666667
"31",2017-07-01,18326,-182.381249999999,18122.6666666667,385.714583333331
"32",2017-08-01,19071,1684.49375,18144.6666666667,-758.160416666666
"33",2017-09-01,19958,1125.00208333333,18136.1666666667,696.831250000003
"34",2017-10-01,19945,1483.81875,18268.3333333333,192.847916666669
"35",2017-11-01,21337,1684.34375,18468.6666666667,1183.98958333334
"36",2017-12-01,18958,70.3687499999998,18386.2916666667,501.339583333331
"37",2018-01-01,12531,-5794.23958333333,18192.875,132.364583333332
"38",2018-02-01,15209,-2299.01041666667,18178.2916666667,-670.28125
"39",2018-03-01,17197,-28.8229166666665,18167.75,-941.927083333332
"40",2018-04-01,17645,-855.84375,18119.3333333333,381.510416666668
"41",2018-05-01,20014,1143.10416666667,17986.8333333333,884.0625
"42",2018-06-01,18740,1969.16666666667,17711.3333333333,-940.499999999996
"43",2018-07-01,17093,-182.381249999999,17489,-213.618750000001
"44",2018-08-01,19954,1684.49375,17307.7083333333,961.797916666666
"45",2018-09-01,18822,1125.00208333333,17158.4166666667,538.581249999999
"46",2018-10-01,19919,1483.81875,16963.9583333333,1471.22291666667
"47",2018-11-01,18183,1684.34375,16615.1666666667,-116.510416666664
"48",2018-12-01,15500,70.3687499999998,16252.3333333333,-822.702083333332
"49",2019-01-01,10653,-5794.23958333333,15980.9583333333,466.28125
"50",2019-02-01,12736,-2299.01041666667,15673.1666666667,-638.156249999996
"51",2019-03-01,16087,-28.8229166666665,15372.8333333333,742.989583333336
"52",2019-04-01,14088,-855.84375,15149.0416666667,-205.197916666666
"53",2019-05-01,15200,1143.10416666667,15038.125,-981.229166666664
"54",2019-06-01,14846,1969.16666666667,15074.25,-2197.41666666666
"55",2019-07-01,14474,-182.381249999999,15082.4166666667,-426.035416666668
"56",2019-08-01,15186,1684.49375,15054.125,-1552.61875
"57",2019-09-01,16382,1125.00208333333,15066.7083333333,190.289583333337
"58",2019-10-01,16988,1483.81875,14962.375,541.806250000003
"59",2019-11-01,18452,1684.34375,14630.9166666667,2136.73958333334
"60",2019-12-01,16098,70.3687499999998,14311.2083333333,1716.42291666667
"61",2020-01-01,10251,-5794.23958333333,14110.4166666667,1934.82291666667
"62",2020-02-01,12459,-2299.01041666667,NA,NA
"63",2020-03-01,16666,-28.8229166666665,NA,NA
"64",2020-04-01,11005,-855.84375,NA,NA
"65",2020-05-01,10328,1143.10416666667,NA,NA
"66",2020-06-01,12045,1969.16666666667,NA,NA
"67",2020-07-01,12456,-182.381249999999,NA,NA
