"","Index","Data","tipo"
"1",2013-01-01,15219,"Observado"
"2",2013-02-01,21597,"Observado"
"3",2013-03-01,24320,"Observado"
"4",2013-04-01,24045,"Observado"
"5",2013-05-01,20236,"Observado"
"6",2013-06-01,19675,"Observado"
"7",2013-07-01,19767,"Observado"
"8",2013-08-01,20342,"Observado"
"9",2013-09-01,16794,"Observado"
"10",2013-10-01,20334,"Observado"
"11",2013-11-01,22596,"Observado"
"12",2013-12-01,23808,"Observado"
"13",2014-01-01,13025,"Observado"
"14",2014-02-01,17837,"Observado"
"15",2014-03-01,19497,"Observado"
"16",2014-04-01,19159,"Observado"
"17",2014-05-01,22708,"Observado"
"18",2014-06-01,23835,"Observado"
"19",2014-07-01,24929,"Observado"
"20",2014-08-01,24556,"Observado"
"21",2014-09-01,27942,"Observado"
"22",2014-10-01,32693,"Observado"
"23",2014-11-01,31267,"Observado"
"24",2014-12-01,27893,"Observado"
"25",2015-01-01,18497,"Observado"
"26",2015-02-01,24190,"Observado"
"27",2015-03-01,28972,"Observado"
"28",2015-04-01,27141,"Observado"
"29",2015-05-01,28479,"Observado"
"30",2015-06-01,28889,"Observado"
"31",2015-07-01,25515,"Observado"
"32",2015-08-01,26680,"Observado"
"33",2015-09-01,23458,"Observado"
"34",2015-10-01,23854,"Observado"
"35",2015-11-01,23773,"Observado"
"36",2015-12-01,22399,"Observado"
"37",2016-01-01,15906,"Observado"
"38",2016-02-01,22940,"Observado"
"39",2016-03-01,23716,"Observado"
"40",2016-04-01,24510,"Observado"
"41",2016-05-01,24204,"Observado"
"42",2016-06-01,25085,"Observado"
"43",2016-07-01,21147,"Observado"
"44",2016-08-01,24166,"Observado"
"45",2016-09-01,22638,"Observado"
"46",2016-10-01,21161,"Observado"
"47",2016-11-01,19696,"Observado"
"48",2016-12-01,18958,"Observado"
"49",2017-01-01,12003,"Observado"
"50",2017-02-01,15209,"Observado"
"51",2017-03-01,17401,"Observado"
"52",2017-04-01,14269,"Observado"
"53",2017-05-01,18582,"Observado"
"54",2017-06-01,22149,"Observado"
"55",2017-07-01,18326,"Observado"
"56",2017-08-01,19071,"Observado"
"57",2017-09-01,19958,"Observado"
"58",2017-10-01,19945,"Observado"
"59",2017-11-01,21337,"Observado"
"60",2017-12-01,18958,"Observado"
"61",2018-01-01,12531,"Observado"
"62",2018-02-01,15209,"Observado"
"63",2018-03-01,17197,"Observado"
"64",2018-04-01,17645,"Observado"
"65",2018-05-01,20014,"Observado"
"66",2018-06-01,18740,"Observado"
"67",2018-07-01,17093,"Observado"
"68",2018-08-01,19954,"Observado"
"69",2018-09-01,18822,"Observado"
"70",2018-10-01,19919,"Observado"
"71",2018-11-01,18183,"Observado"
"72",2018-12-01,15500,"Observado"
"73",2019-01-01,10646,"Observado"
"74",2019-02-01,12736,"Observado"
"75",2019-03-01,16086,"Observado"
"76",2019-04-01,14088,"Observado"
"77",2019-05-01,15200,"Observado"
"78",2019-06-01,14846,"Observado"
"79",2019-07-01,14466,"Observado"
"80",2019-08-01,15186,"Observado"
"81",2019-09-01,16371,"Observado"
"82",2019-10-01,16988,"Observado"
"83",2019-11-01,18400,"Observado"
"84",2019-12-01,16090,"Observado"
"85",2020-01-01,10239,"Observado"
"86",2020-02-01,12450,"Observado"
"87",2020-03-01,16640,"Observado"
"88",2020-04-01,11005,"Observado"
"89",2020-05-01,10315,"Observado"
"90",2020-06-01,12021,"Observado"
"91",2020-07-01,12447,"Observado"
"92",2020-08-01,12574,"Observado"
"93",2020-09-01,15360,"Observado"
"94",2020-10-01,14077,"Observado"
"95",2020-11-01,15134,"Observado"
"96",2020-12-01,15540,"Observado"
"97",2021-01-01,9345.00252827714,"Estimado"
"98",2021-02-01,12292.0714136832,"Estimado"
"99",2021-03-01,15484.0508680105,"Estimado"
"100",2021-04-01,12650.8546329685,"Estimado"
"101",2021-05-01,13455.9715490561,"Estimado"
"102",2021-06-01,14242.3958633648,"Estimado"
"103",2021-07-01,13371.4413625025,"Estimado"
"104",2021-08-01,14311.1251379052,"Estimado"
"105",2021-09-01,15333.5782527441,"Estimado"
"106",2021-10-01,15307.3865026699,"Estimado"
"107",2021-11-01,15826.023889123,"Estimado"
"108",2021-12-01,14649.2896946581,"Estimado"
"109",2022-01-01,8454.29222293526,"Estimado"
