"","Index","Data","Fitted","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
"1",2015-01-01,26890,26863.110040076,NA,NA,NA,NA,NA
"2",2015-02-01,44282,34208.3090290383,NA,NA,NA,NA,NA
"3",2015-03-01,60952,44140.0249453749,NA,NA,NA,NA,NA
"4",2015-04-01,52460,46857.8276282278,NA,NA,NA,NA,NA
"5",2015-05-01,54727,48898.4334143749,NA,NA,NA,NA,NA
"6",2015-06-01,48672,48566.9835190949,NA,NA,NA,NA,NA
"7",2015-07-01,39876,46325.631640676,NA,NA,NA,NA,NA
"8",2015-08-01,39765,45116.1257779588,NA,NA,NA,NA,NA
"9",2015-09-01,47475,46103.1493251121,NA,NA,NA,NA,NA
"10",2015-10-01,60516,49545.4841165909,NA,NA,NA,NA,NA
"11",2015-11-01,41486,46677.7575237539,NA,NA,NA,NA,NA
"12",2015-12-01,64496,51451.0323315189,NA,NA,NA,NA,NA
"13",2016-01-01,22924,36216.172135055,NA,NA,NA,NA,NA
"14",2016-02-01,49213,45009.2410403856,NA,NA,NA,NA,NA
"15",2016-03-01,46109,56356.5506887502,NA,NA,NA,NA,NA
"16",2016-04-01,47088,49005.4502200964,NA,NA,NA,NA,NA
"17",2016-05-01,46697,50114.7947949402,NA,NA,NA,NA,NA
"18",2016-06-01,55201,45703.9211073058,NA,NA,NA,NA,NA
"19",2016-07-01,39437,41485.3629261829,NA,NA,NA,NA,NA
"20",2016-08-01,43820,41102.671843765,NA,NA,NA,NA,NA
"21",2016-09-01,38599,46517.7313235166,NA,NA,NA,NA,NA
"22",2016-10-01,41535,53747.8632134378,NA,NA,NA,NA,NA
"23",2016-11-01,40504,39484.3031459592,NA,NA,NA,NA,NA
"24",2016-12-01,45271,54601.9312419844,NA,NA,NA,NA,NA
"25",2017-01-01,18535,26115.8570800263,NA,NA,NA,NA,NA
"26",2017-02-01,44588,42063.7150836351,NA,NA,NA,NA,NA
"27",2017-03-01,33774,40426.6146901337,NA,NA,NA,NA,NA
"28",2017-04-01,30253,40045.4764009244,NA,NA,NA,NA,NA
"29",2017-05-01,42709,38298.9460378284,NA,NA,NA,NA,NA
"30",2017-06-01,44795,44504.4486611969,NA,NA,NA,NA,NA
"31",2017-07-01,37532,34291.8128191739,NA,NA,NA,NA,NA
"32",2017-08-01,40150,37637.4482011075,NA,NA,NA,NA,NA
