pib,const
3.684298751,16.04440209
5.573138753,19.78454651
5.304630342,16.7062457
5.157573638,6.665524672
-1.919882928,-27.74443537
-8.61249292,-37.86445238
-7.600232219,-36.96792548
-6.913418438,-26.52317824
1.400740485,5.815297932
8.039480275,24.16558874
7.830286232,31.65119005
8.981754138,21.33644182
6.347477283,9.656077614
7.332207719,9.915190487
7.56266297,6.313294276
7.006775886,2.314655216
7.820748892,8.753038388
6.194149782,6.194669766
4.62629471,6.964528438
2.315772286,6.356489388
2.452771673,8.272982878
2.291786653,4.824096502
2.655950167,0.91247785
3.561677393,3.337157586
4.462224565,1.27499867
5.405840624,2.318436099
5.367817659,1.565093697
3.591523163,-3.253908979
1.702367804,-9.2271844
-0.375640503,-11.87545643
-1.119374882,-4.660057763
-0.925395523,-4.861008803
-1.639115942,-5.085500828
-0.224063349,-0.883470899
0.450479538,-3.173802504
1.238266983,1.151558083
2.117860052,6.858947628
1.483547711,4.975349623
0.769398284,0.893570894
1.508729621,0.640004037
2.669159458,5.971316999
4.057540454,7.779393139
3.9221643,6.179060855
4.104772226,7.304900232
2.87181398,3.282066355
1.537475593,1.798283743
2.635088831,3.572976145
2.992168591,4.996021614
4.616826563,4.400941791
5.374598675,9.181497403
4.714834633,12.29668219
3.299786763,8.265928518
2.240683709,6.226699088
2.018296448,2.218121511
2.337289497,2.654259731
2.526343368,7.371197252
1.632505568,8.178495664
1.572629343,8.026204516
1.257042385,2.776315435
-0.754346781,-3.086650633
-5.65431313,-6.747545318
-7.731308511,-6.268363467
-5.040983013,-4.748851208
-1.833043808,-6.341818383
4.545646978,2.766680111
7.273841356,-1.192810604
4.850930556,-2.503827704
3.920737795,1.278244832
3.628115184,-3.423868073
3.031915478,3.656983951
4.064345445,6.398076521
3.952998742,9.301853499
3.817063196,5.416090337
4.152733135,2.496487752
2.817479439,4.213074022
2.961697729,-1.779806631
2.600769228,1.434919754
1.089067041,-2.272030597
1.455775321,-4.833696976
1.19436102,-0.433190457
1.609091449,-0.776006604
3.529023078,4.690641607
2.889928755,2.822137733
3.397489707,3.921689674
3.254687628,0.598522076
3.192583921,0.91082407
4.073667019,8.239161902
2.730351667,-1.030854368
2.745036755,5.395085928
1.976382502,1.437310411
1.746762457,-3.629180984
3.111079713,3.930378212
3.005681261,-1.752017294
2.993344557,-1.049720326
1.573562403,0.549061236
1.780555936,0.953853339
2.480800104,3.425600953
2.200165645,3.332307442
2.836427336,0.070513622
1.191318991,-4.998442301
0.340937374,-2.287725905
0.259832428,-5.905788949
0.011510218,-6.789079712
-0.812592,-6.013844392
-2.153407373,-8.552384932
-18.64905129,-34.01442037
-8.525870829,-17.06094741
-4.480017823,-10.05332183
-3.8,
16.2,
4.4,
3.1,
